case_public_id,family_public_id,family_type,owner_family_size,owner_retrievable_peer_count,observation_window,alert_service_alias,alert_service_layer,alert_metric_family,first_service_alias,first_service_layer,public_notes
O01,F01,recurring,9,8,anchor-30m_to_anchor,S01,application_service,latency_p95,S03,storage_dependency,"public id does not preserve chronology; exact region, timestamp, service name, raw query, and raw values removed"
O02,F01,recurring,9,8,anchor-30m_to_anchor,S01,application_service,latency_p95,S03,storage_dependency,"public id does not preserve chronology; exact region, timestamp, service name, raw query, and raw values removed"
O03,F01,recurring,9,8,anchor-30m_to_anchor,S01,application_service,latency_p95,S03,storage_dependency,"public id does not preserve chronology; exact region, timestamp, service name, raw query, and raw values removed"
O04,F01,recurring,9,8,anchor-30m_to_anchor,S01,application_service,db_read_iops,S03,storage_dependency,"public id does not preserve chronology; exact region, timestamp, service name, raw query, and raw values removed"
O05,F01,recurring,9,8,anchor-30m_to_anchor,S01,application_service,latency_p95,S03,storage_dependency,"public id does not preserve chronology; exact region, timestamp, service name, raw query, and raw values removed"
O06,F01,recurring,9,8,anchor-30m_to_anchor,S01,application_service,latency_p95,S03,storage_dependency,"public id does not preserve chronology; exact region, timestamp, service name, raw query, and raw values removed"
O07,F01,recurring,9,8,anchor-30m_to_anchor,S01,application_service,latency_p95,S03,storage_dependency,"public id does not preserve chronology; exact region, timestamp, service name, raw query, and raw values removed"
O08,F01,recurring,9,8,anchor-30m_to_anchor,S01,application_service,latency_p95,S03,storage_dependency,"public id does not preserve chronology; exact region, timestamp, service name, raw query, and raw values removed"
O09,F01,recurring,9,8,anchor-30m_to_anchor,S01,application_service,latency_p95,S03,storage_dependency,"public id does not preserve chronology; exact region, timestamp, service name, raw query, and raw values removed"
O10,F02,recurring,5,4,anchor-30m_to_anchor,S01,application_service,http_5xx_ratio,S01,application_service,"public id does not preserve chronology; exact region, timestamp, service name, raw query, and raw values removed"
O11,F02,recurring,5,4,anchor-30m_to_anchor,S01,application_service,http_5xx_ratio,S01,application_service,"public id does not preserve chronology; exact region, timestamp, service name, raw query, and raw values removed"
O12,F02,recurring,5,4,anchor-30m_to_anchor,S01,application_service,http_5xx_ratio,S01,application_service,"public id does not preserve chronology; exact region, timestamp, service name, raw query, and raw values removed"
O13,F02,recurring,5,4,anchor-30m_to_anchor,S01,application_service,http_5xx_ratio,S01,application_service,"public id does not preserve chronology; exact region, timestamp, service name, raw query, and raw values removed"
O14,F02,recurring,5,4,anchor-30m_to_anchor,S01,application_service,http_5xx_ratio,S01,application_service,"public id does not preserve chronology; exact region, timestamp, service name, raw query, and raw values removed"
O15,F03,recurring,2,1,anchor-30m_to_anchor,S01,application_service,resource_cpu,S04,application_service,"public id does not preserve chronology; exact region, timestamp, service name, raw query, and raw values removed"
O16,F03,recurring,2,1,anchor-30m_to_anchor,S01,application_service,resource_cpu,S04,application_service,"public id does not preserve chronology; exact region, timestamp, service name, raw query, and raw values removed"
O17,F06,singleton,1,0,anchor-30m_to_anchor,S01,application_service,http_4xx_ratio,S04,application_service,"public id does not preserve chronology; exact region, timestamp, service name, raw query, and raw values removed"
O18,F07,singleton,1,0,anchor-30m_to_anchor,S01,application_service,http_5xx_ratio,S01,application_service,"public id does not preserve chronology; exact region, timestamp, service name, raw query, and raw values removed"
O19,F04,recurring,7,6,anchor-30m_to_anchor,S01,application_service,http_5xx_ratio,S05,application_service,"public id does not preserve chronology; exact region, timestamp, service name, raw query, and raw values removed"
O20,F04,recurring,7,6,anchor-30m_to_anchor,S01,application_service,http_5xx_ratio,S05,application_service,"public id does not preserve chronology; exact region, timestamp, service name, raw query, and raw values removed"
O21,F05,recurring,4,3,anchor-30m_to_anchor,S01,application_service,http_5xx_ratio,S04,application_service,"public id does not preserve chronology; exact region, timestamp, service name, raw query, and raw values removed"
O22,F04,recurring,7,6,anchor-30m_to_anchor,S01,application_service,http_5xx_ratio,S05,application_service,"public id does not preserve chronology; exact region, timestamp, service name, raw query, and raw values removed"
O23,F04,recurring,7,6,anchor-30m_to_anchor,S01,application_service,http_5xx_ratio,S05,application_service,"public id does not preserve chronology; exact region, timestamp, service name, raw query, and raw values removed"
O24,F05,recurring,4,3,anchor-30m_to_anchor,S01,application_service,http_5xx_ratio,S04,application_service,"public id does not preserve chronology; exact region, timestamp, service name, raw query, and raw values removed"
O25,F04,recurring,7,6,anchor-30m_to_anchor,S01,application_service,http_5xx_ratio,S05,application_service,"public id does not preserve chronology; exact region, timestamp, service name, raw query, and raw values removed"
O26,F05,recurring,4,3,anchor-30m_to_anchor,S01,application_service,http_5xx_ratio,S04,application_service,"public id does not preserve chronology; exact region, timestamp, service name, raw query, and raw values removed"
O27,F04,recurring,7,6,anchor-30m_to_anchor,S01,application_service,http_5xx_ratio,S05,application_service,"public id does not preserve chronology; exact region, timestamp, service name, raw query, and raw values removed"
O28,F05,recurring,4,3,anchor-30m_to_anchor,S01,application_service,http_5xx_ratio,S04,application_service,"public id does not preserve chronology; exact region, timestamp, service name, raw query, and raw values removed"
O29,F08,singleton,1,0,anchor-30m_to_anchor,S01,application_service,http_5xx_ratio,S02,storage_dependency,"public id does not preserve chronology; exact region, timestamp, service name, raw query, and raw values removed"
O30,F04,recurring,7,6,anchor-30m_to_anchor,S01,application_service,http_5xx_ratio,S05,application_service,"public id does not preserve chronology; exact region, timestamp, service name, raw query, and raw values removed"
